tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f-mcsoff,align,sim0,CHM13,se,50,1000000,99.0662,0,86.7265,86.71434,96.9666,3.0,14.4236
strobealign-caa3745f-mcsoff,align,sim0,CHM13,se,75,1000000,99.6207,0,90.2047,90.19466,98.3117,3.3,14.4032
strobealign-caa3745f-mcsoff,align,sim0,CHM13,se,100,1000000,99.8179,0,91.5896,91.58079,98.8813,3.4,14.4021
strobealign-caa3745f-mcsoff,align,sim0,CHM13,se,150,1000000,99.9705,0,92.9107,92.9044,99.2851,3.9,14.4279
strobealign-caa3745f-mcsoff,align,sim0,CHM13,se,200,1000000,100.0,0,93.7068,93.70289,99.5315,4.6,14.4289
strobealign-caa3745f-mcsoff,align,sim0,CHM13,se,300,1000000,100.0,0,94.6548,94.653,99.649,7.0,14.4545
strobealign-caa3745f-mcsoff,align,sim0,CHM13,se,500,1000000,100.0,0,95.7474,95.74672,99.8132,9.1,10.9566
strobealign-caa3745f-mcsoff,align,sim4,CHM13,se,50,1000000,92.0374,74,78.0426,77.80895,88.4112,3.6,14.4299
strobealign-caa3745f-mcsoff,align,sim4,CHM13,se,75,1000000,97.6578,100,86.8456,86.40071,95.0747,4.7,14.4163
strobealign-caa3745f-mcsoff,align,sim4,CHM13,se,100,1000000,98.335,142,89.0651,88.5303,96.3797,5.2,14.4424
strobealign-caa3745f-mcsoff,align,sim4,CHM13,se,150,1000000,99.3478,176,91.6439,91.08358,97.7875,6.5,14.7042
strobealign-caa3745f-mcsoff,align,sim4,CHM13,se,200,1000000,99.7865,231,92.9982,92.48566,98.3738,8.5,14.7333
strobealign-caa3745f-mcsoff,align,sim4,CHM13,se,300,1000000,99.965,306,94.2295,93.82315,98.7065,14.2,14.7422
strobealign-caa3745f-mcsoff,align,sim4,CHM13,se,500,1000000,99.9521,479,95.3969,95.08831,98.9957,30.5,11.2475
strobealign-caa3745f-mcsoff,align,sim6,CHM13,se,50,1000000,49.203,72,33.7378,33.16443,42.303,3.3,14.4301
strobealign-caa3745f-mcsoff,align,sim6,CHM13,se,75,1000000,59.1815,89,44.0588,43.05561,51.0921,5.0,14.4166
strobealign-caa3745f-mcsoff,align,sim6,CHM13,se,100,1000000,55.3848,113,42.4553,41.36662,48.3673,5.7,14.45
strobealign-caa3745f-mcsoff,align,sim6,CHM13,se,150,1000000,56.2223,164,43.9223,42.67853,49.3583,8.5,14.8061
strobealign-caa3745f-mcsoff,align,sim6,CHM13,se,200,1000000,57.7671,237,46.2742,44.75536,51.6174,13.5,14.7844
strobealign-caa3745f-mcsoff,align,sim6,CHM13,se,300,1000000,74.6733,335,63.4244,60.99141,69.5717,32.3,14.9155
strobealign-caa3745f-mcsoff,align,sim6,CHM13,se,500,1000000,82.0536,449,71.8333,69.54667,78.3966,94.0,11.3782
strobealign-caa3745f,align,sim0,CHM13,se,50,1000000,99.0717,0,86.8105,86.79903,97.0962,3.5,14.424
strobealign-caa3745f,align,sim0,CHM13,se,75,1000000,99.6226,0,90.2529,90.24213,98.378,3.4,14.4033
strobealign-caa3745f,align,sim0,CHM13,se,100,1000000,99.8194,0,91.6071,91.59821,98.9662,3.5,14.4015
strobealign-caa3745f,align,sim0,CHM13,se,150,1000000,100.0,0,92.9688,92.96246,99.3947,4.3,14.4236
strobealign-caa3745f,align,sim0,CHM13,se,200,1000000,100.0,0,93.7071,93.7029,99.5748,5.1,14.4195
strobealign-caa3745f,align,sim0,CHM13,se,300,1000000,100.0,0,94.6556,94.65337,99.6777,7.6,14.4448
strobealign-caa3745f,align,sim0,CHM13,se,500,1000000,100.0,0,95.7426,95.74184,99.8339,9.7,10.8847
strobealign-caa3745f,align,sim4,CHM13,se,50,1000000,98.8805,74,84.4052,84.03385,95.3815,5.0,14.4304
strobealign-caa3745f,align,sim4,CHM13,se,75,1000000,99.5776,100,88.9157,88.36312,97.2924,5.0,14.4203
strobealign-caa3745f,align,sim4,CHM13,se,100,1000000,99.8664,142,90.7756,90.13712,98.1365,5.3,14.4463
strobealign-caa3745f,align,sim4,CHM13,se,150,1000000,99.9818,176,92.4397,91.84306,98.4815,6.6,14.475
strobealign-caa3745f,align,sim4,CHM13,se,200,1000000,99.9769,231,93.2847,92.76151,98.5556,8.8,14.4987
strobealign-caa3745f,align,sim4,CHM13,se,300,1000000,99.9694,306,94.267,93.85936,98.6711,14.9,14.5771
strobealign-caa3745f,align,sim4,CHM13,se,500,1000000,99.9521,479,95.4308,95.12316,98.9958,30.5,11.0824
strobealign-caa3745f,align,sim6,CHM13,se,50,1000000,91.5182,72,59.236,57.87601,73.5257,7.8,14.4301
