tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-c99d3823,map,sim1,fruitfly,se,1000,500000,100.0,0,96.7402,95.4575,,4.9,0.917469
strobealign-c99d3823,map,sim1,fruitfly,se,5000,100000,99.99,0,99.298,98.94624,,4.6,0.926601
strobealign-c99d3823,map,sim1,fruitfly,se,10000,50000,100.0,0,99.81,99.51081,,4.5,0.934231
strobealign-c99d3823,map,hifi,fruitfly,se,1000,477078,100.0,0,96.72611187269167,95.59354,,4.6,1.01823
strobealign-c99d3823,map,hifi,fruitfly,se,5000,95270,100.0,0,99.30408313215072,99.01164,,4.5,1.02123
strobealign-c99d3823,map,hifi,fruitfly,se,10000,47512,100.0,0,99.77479373631924,99.52173,,4.6,1.03564
strobealign-c99d3823,map,sim1,maize,se,1000,500000,100.0,0,97.8552,94.89943,,17.1,8.35758
strobealign-c99d3823,map,sim1,maize,se,5000,100000,100.0,0,99.527,98.84611,,18.9,8.34968
strobealign-c99d3823,map,sim1,maize,se,10000,50000,100.0,0,99.722,99.34942,,22.3,8.2817
strobealign-c99d3823,map,hifi,maize,se,1000,480901,100.0,0,97.78478314663516,95.32913,,15.6,8.31091
strobealign-c99d3823,map,hifi,maize,se,5000,96045,100.0,0,99.51689312301525,98.96877,,19.9,8.33077
strobealign-c99d3823,map,hifi,maize,se,10000,47801,100.0,0,99.70711909792682,99.4171,,21.2,8.3634
strobealign-c99d3823,map,sim1,CHM13,se,1000,500000,100.0,0,96.5552,94.71795,,6.8,11.0567
strobealign-c99d3823,map,sim1,CHM13,se,5000,100000,100.0,0,99.056,98.49075,,7.0,11.0455
strobealign-c99d3823,map,sim1,CHM13,se,10000,50000,100.0,0,99.424,99.0765,,7.9,11.0594
strobealign-c99d3823,map,hifi,CHM13,se,1000,479886,100.0,0,96.61086174633142,94.99876,,6.7,11.1333
strobealign-c99d3823,map,hifi,CHM13,se,5000,96178,100.0,0,99.02680446671796,98.57005,,7.1,11.1458
strobealign-c99d3823,map,hifi,CHM13,se,10000,48092,100.0,0,99.47392497712717,99.19305,,7.6,11.1603
strobealign-c99d3823,map,sim1,rye,se,1000,500000,100.0,0,96.554,93.14366,,18.2,25.0078
strobealign-c99d3823,map,sim1,rye,se,5000,100000,100.0,0,99.076,98.30025,,24.5,25.0126
strobealign-c99d3823,map,sim1,rye,se,10000,50000,100.0,0,99.59,99.19463,,27.6,25.0269
strobealign-c99d3823,map,hifi,rye,se,1000,478267,100.0,0,96.53185354624091,93.65997,,18.8,25.0034
strobealign-c99d3823,map,hifi,rye,se,5000,94575,100.0,0,99.07903780068729,98.47392,,23.6,25.0117
strobealign-c99d3823,map,hifi,rye,se,10000,46597,100.0,0,99.6480460115458,99.34233,,27.4,25.0291
