tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f-mcsoff,map,sim0,fruitfly,se,1000,500000,100.0,0,96.7118,95.63894,,4.2,0.712738
strobealign-caa3745f-mcsoff,map,sim0,fruitfly,se,5000,100000,100.0,0,99.339,99.04993,,4.3,0.725788
strobealign-caa3745f-mcsoff,map,sim0,fruitfly,se,10000,50000,100.0,0,99.814,99.59028,,4.4,0.749424
strobealign-caa3745f-mcsoff,map,sim4,fruitfly,se,1000,500000,99.9316,342,96.1872,92.02713,,3.4,0.920822
strobealign-caa3745f-mcsoff,map,sim4,fruitfly,se,5000,100000,99.777,215,98.968,97.91423,,3.4,0.92556
strobealign-caa3745f-mcsoff,map,sim4,fruitfly,se,10000,50000,99.654,173,99.41,98.72591,,3.4,0.953388
strobealign-caa3745f-mcsoff,map,sim6,fruitfly,se,1000,500000,96.159,339,88.4716,45.67056,,2.2,0.945362
strobealign-caa3745f-mcsoff,map,sim6,fruitfly,se,5000,100000,99.783,205,97.604,82.17914,,2.1,0.937241
strobealign-caa3745f-mcsoff,map,sim6,fruitfly,se,10000,50000,99.546,227,98.918,90.22891,,2.1,0.95266
strobealign-caa3745f,map,sim0,fruitfly,se,1000,500000,100.0,0,96.8584,96.11382,,4.6,0.710026
strobealign-caa3745f,map,sim0,fruitfly,se,5000,100000,100.0,0,99.349,99.13077,,4.6,0.721462
strobealign-caa3745f,map,sim0,fruitfly,se,10000,50000,100.0,0,99.816,99.62952,,4.6,0.744068
strobealign-caa3745f,map,sim4,fruitfly,se,1000,500000,99.9316,342,96.5276,94.62708,,4.2,0.917889
strobealign-caa3745f,map,sim4,fruitfly,se,5000,100000,99.778,215,99.14,98.61232,,4.3,0.924164
strobealign-caa3745f,map,sim4,fruitfly,se,10000,50000,99.654,173,99.502,99.09059,,4.4,0.936665
strobealign-caa3745f,map,sim6,fruitfly,se,1000,500000,99.9286,357,95.3116,86.1801,,3.1,0.920898
strobealign-caa3745f,map,sim6,fruitfly,se,5000,100000,99.785,205,98.859,96.75766,,3.0,0.921108
strobealign-caa3745f,map,sim6,fruitfly,se,10000,50000,99.546,227,99.266,98.00527,,3.0,0.932095
strobealign-caa3745f-k16s12l2u2,map,sim0,fruitfly,se,1000,500000,100.0,0,96.9998,96.31062,,6.8,0.837132
strobealign-caa3745f-k16s12l2u2,map,sim0,fruitfly,se,5000,100000,100.0,0,99.535,99.22657,,7.1,0.861305
strobealign-caa3745f-k16s12l2u2,map,sim0,fruitfly,se,10000,50000,100.0,0,99.85,99.56926,,7.6,0.871201
strobealign-caa3745f-k16s12l2u2,map,sim4,fruitfly,se,1000,500000,99.9316,342,96.8536,95.53356,,6.4,1.03771
strobealign-caa3745f-k16s12l2u2,map,sim4,fruitfly,se,5000,100000,99.778,215,99.278,98.78851,,6.8,1.06397
strobealign-caa3745f-k16s12l2u2,map,sim4,fruitfly,se,10000,50000,99.654,173,99.438,98.92918,,7.2,1.07241
