tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f,align,sim4,fruitfly,pe,50,2000000,99.78715,132,91.3697,90.84829,99.7339,5.8,0.901741
strobealign-caa3745f,align,sim4,fruitfly,pe,75,2000000,99.97495,174,92.4503,91.80506,99.9307,7.3,0.958523
strobealign-caa3745f,align,sim4,fruitfly,pe,100,2000000,99.98885,208,93.0919,92.42028,99.94875,9.0,1.01675
strobealign-caa3745f,align,sim4,fruitfly,pe,150,2000000,99.98565,287,93.8602,93.25494,99.9431,12.3,1.07998
strobealign-caa3745f,align,sim4,fruitfly,pe,200,2000000,99.98025,395,94.1295,93.60554,99.9313,15.4,1.1175
strobealign-caa3745f,align,sim4,fruitfly,pe,300,2000000,99.9731,538,95.7983,95.38723,99.91155,27.5,1.26546
strobealign-caa3745f,align,sim4,fruitfly,pe,500,2000000,99.96025,795,96.2875,95.97594,99.879,66.0,1.46278
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,pe,50,2000000,99.0261,132,90.54035,90.04307,98.91905,5.7,0.896259
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,pe,75,2000000,99.9113,174,92.31755,91.67775,99.84085,7.2,0.968845
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,pe,100,2000000,99.9551,208,92.99935,92.3318,99.8914,9.0,1.02341
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,pe,150,2000000,99.98085,287,93.8135,93.20873,99.92035,12.1,1.07099
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,pe,200,2000000,99.97925,395,94.09165,93.56932,99.9129,15.1,1.11982
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,pe,300,2000000,99.9731,538,95.7813,95.37066,99.8999,24.9,1.26659
strobealign-caa3745f-mcsoff,align,sim4,fruitfly,pe,500,2000000,99.96025,795,96.25175,95.93964,99.86745,59.9,1.48486
bwamem,align,sim4,fruitfly,pe,50,2000000,99.60815,132,91.21175,90.75855,91.36395,18.195,1.842
bwamem,align,sim4,fruitfly,pe,75,2000000,99.93795,174,92.39875,91.74939,92.6115,22.199,1.43496
bwamem,align,sim4,fruitfly,pe,100,2000000,99.98835,208,93.10155,92.36936,93.34925,26.059,1.15992
bwamem,align,sim4,fruitfly,pe,150,2000000,99.98565,287,93.8692,93.15688,94.1716,39.540,0.968151
bwamem,align,sim4,fruitfly,pe,200,2000000,99.98025,395,94.12915,93.52325,94.48395,55.857,0.985332
bwamem,align,sim4,fruitfly,pe,300,2000000,99.9731,538,95.86245,95.40541,96.17,96.453,0.87188
bwamem,align,sim4,fruitfly,pe,500,2000000,99.96025,795,96.35125,96.02094,96.7251,182.166,0.854496
minimap2,align,sim4,fruitfly,pe,50,2000000,94.44675,132,86.1567,85.86603,86.30305,9.047,1.70594
minimap2,align,sim4,fruitfly,pe,75,2000000,99.3679,174,91.74445,91.21137,92.0162,10.926,1.75637
minimap2,align,sim4,fruitfly,pe,100,2000000,99.90545,208,92.9414,92.28687,93.2757,12.647,1.61002
minimap2,align,sim4,fruitfly,pe,150,2000000,99.9844,287,93.83315,93.22378,94.2579,16.147,1.39611
minimap2,align,sim4,fruitfly,pe,200,2000000,99.9801,395,94.1119,93.58302,94.6409,20.643,1.22412
minimap2,align,sim4,fruitfly,pe,300,2000000,99.9731,538,95.74835,95.33964,96.28865,27.860,1.18949
minimap2,align,sim4,fruitfly,pe,500,2000000,99.96025,795,96.07655,95.76773,96.8749,65.865,1.17075
strobealign-caa3745f,map,sim4,fruitfly,pe,50,2000000,99.0391,80,89.90855,74.64388,,2.2,0.897156
strobealign-caa3745f,map,sim4,fruitfly,pe,75,2000000,99.7722,126,91.67475,79.05408,,2.5,0.950073
strobealign-caa3745f,map,sim4,fruitfly,pe,100,2000000,99.96575,149,92.58135,82.35288,,3.0,0.984615
strobealign-caa3745f,map,sim4,fruitfly,pe,150,2000000,99.9855,222,93.47425,86.11624,,4.1,1.03822
strobealign-caa3745f,map,sim4,fruitfly,pe,200,2000000,99.98025,338,93.82425,87.557,,5.0,1.11285
strobealign-caa3745f,map,sim4,fruitfly,pe,300,2000000,99.9731,504,95.45165,90.96386,,7.3,1.21424
strobealign-caa3745f,map,sim4,fruitfly,pe,500,2000000,99.96025,775,95.9747,92.39934,,8.5,1.40025
strobealign-caa3745f-mcsoff,map,sim4,fruitfly,pe,50,2000000,91.3003,58,82.3359,66.49964,,1.6,0.90387
strobealign-caa3745f-mcsoff,map,sim4,fruitfly,pe,75,2000000,97.58425,118,89.2158,71.53514,,2.1,0.974648
strobealign-caa3745f-mcsoff,map,sim4,fruitfly,pe,100,2000000,98.21945,135,90.50135,72.91317,,2.4,1.00239
strobealign-caa3745f-mcsoff,map,sim4,fruitfly,pe,150,2000000,99.2792,204,92.39435,78.46067,,3.1,1.04098
strobealign-caa3745f-mcsoff,map,sim4,fruitfly,pe,200,2000000,99.7506,321,93.23745,81.30773,,3.7,1.11947
strobealign-caa3745f-mcsoff,map,sim4,fruitfly,pe,300,2000000,99.9679,498,95.08255,86.11479,,5.6,1.23994
strobealign-caa3745f-mcsoff,map,sim4,fruitfly,pe,500,2000000,99.96025,763,95.61525,88.1563,,6.7,1.41678
minimap2,map,sim4,fruitfly,pe,50,2000000,94.4812,57,85.5501,62.45535,,3.159,1.1642
minimap2,map,sim4,fruitfly,pe,75,2000000,99.38165,123,91.16195,71.19106,,3.816,1.1155
minimap2,map,sim4,fruitfly,pe,100,2000000,99.9078,148,92.48775,76.27591,,4.603,1.04751
minimap2,map,sim4,fruitfly,pe,150,2000000,99.9844,217,93.48565,81.3292,,6.618,0.974457
minimap2,map,sim4,fruitfly,pe,200,2000000,99.98015,337,93.694,75.39562,,9.176,0.963211
minimap2,map,sim4,fruitfly,pe,300,2000000,99.9731,503,95.36845,89.15201,,13.304,0.937931
minimap2,map,sim4,fruitfly,pe,500,2000000,99.96025,774,95.02085,90.89416,,38.222,1.00143
strobealign-caa3745f,align,sim4,maize,pe,50,2000000,99.70075,166,71.37535,71.00379,96.81985,37.4,9.84342
strobealign-caa3745f,align,sim4,maize,pe,75,2000000,99.963,204,80.84465,80.3062,97.6678,30.5,9.87563
strobealign-caa3745f,align,sim4,maize,pe,100,2000000,99.98685,223,85.98285,85.37481,98.0713,27.5,9.93846
strobealign-caa3745f,align,sim4,maize,pe,150,2000000,99.9818,364,90.794,90.21257,98.57375,29.8,10.2432
strobealign-caa3745f,align,sim4,maize,pe,200,2000000,99.9752,496,92.37195,91.86323,98.8606,35.8,10.2519
strobealign-caa3745f,align,sim4,maize,pe,300,2000000,99.96675,665,96.67225,96.25667,99.528,54.3,10.2359
strobealign-caa3745f,align,sim4,maize,pe,500,2000000,99.94785,1043,97.544,97.22701,99.6886,94.4,8.82004
strobealign-caa3745f-mcsoff,align,sim4,maize,pe,50,2000000,99.24025,166,69.7072,69.36385,95.44145,35.2,9.84472
strobealign-caa3745f-mcsoff,align,sim4,maize,pe,75,2000000,99.9198,204,80.165,79.64082,97.2192,32.6,9.87473
strobealign-caa3745f-mcsoff,align,sim4,maize,pe,100,2000000,99.96925,223,85.41945,84.82312,97.78295,29.6,9.93242
strobealign-caa3745f-mcsoff,align,sim4,maize,pe,150,2000000,99.9802,364,90.5362,89.9586,98.50265,28.9,10.2603
strobealign-caa3745f-mcsoff,align,sim4,maize,pe,200,2000000,99.975,496,92.2502,91.74414,98.85895,33.7,10.2685
strobealign-caa3745f-mcsoff,align,sim4,maize,pe,300,2000000,99.96675,665,96.6205,96.20603,99.5174,50.2,10.3213
strobealign-caa3745f-mcsoff,align,sim4,maize,pe,500,2000000,99.94785,1043,97.5232,97.20555,99.6947,93.4,8.88357
bwamem,align,sim4,maize,pe,50,2000000,99.6322,166,73.6694,73.30762,74.14885,200.421,19.9554
bwamem,align,sim4,maize,pe,75,2000000,99.94585,204,83.0798,82.53098,83.6713,190.381,12.2587
bwamem,align,sim4,maize,pe,100,2000000,99.98815,223,87.88525,87.24298,88.4718,207.723,8.8593
bwamem,align,sim4,maize,pe,150,2000000,99.9818,364,91.98615,91.33252,92.53175,268.472,6.30626
bwamem,align,sim4,maize,pe,200,2000000,99.9752,496,93.2286,92.65295,93.7334,338.428,5.3515
bwamem,align,sim4,maize,pe,300,2000000,99.96675,665,97.0864,96.62695,97.33835,514.276,4.63495
bwamem,align,sim4,maize,pe,500,2000000,99.94785,1043,97.77315,97.43853,98.02195,884.351,4.29235
minimap2,align,sim4,maize,pe,50,2000000,92.53945,166,66.0064,65.79776,66.516,35.515,9.23443
minimap2,align,sim4,maize,pe,75,2000000,98.3725,204,80.32615,79.87965,81.05365,51.780,8.84805
minimap2,align,sim4,maize,pe,100,2000000,99.422,223,86.4743,85.87973,87.1844,64.062,8.46604
minimap2,align,sim4,maize,pe,150,2000000,99.8379,364,91.43965,90.85361,92.0815,88.676,8.16661
minimap2,align,sim4,maize,pe,200,2000000,99.91765,496,92.75115,92.23281,93.4421,120.015,8.02273
minimap2,align,sim4,maize,pe,300,2000000,99.9523,665,95.5869,95.18021,96.1818,275.792,7.88419
minimap2,align,sim4,maize,pe,500,2000000,99.9469,1043,96.4263,96.11772,97.20735,1068.610,7.98774
strobealign-caa3745f,map,sim4,maize,pe,50,2000000,98.1446,108,62.8143,51.15995,,25.3,9.84336
strobealign-caa3745f,map,sim4,maize,pe,75,2000000,99.49775,147,72.9761,59.17967,,18.1,9.84744
strobealign-caa3745f,map,sim4,maize,pe,100,2000000,99.9093,173,79.05165,65.15699,,14.2,9.86474
strobealign-caa3745f,map,sim4,maize,pe,150,2000000,99.98175,322,85.19735,73.69995,,13.0,10.1775
strobealign-caa3745f,map,sim4,maize,pe,200,2000000,99.9752,429,88.19365,78.26764,,14.8,10.2208
strobealign-caa3745f,map,sim4,maize,pe,300,2000000,99.96675,629,93.9158,84.92855,,22.2,10.2102
strobealign-caa3745f,map,sim4,maize,pe,500,2000000,99.94785,1012,96.02025,88.70071,,25.8,8.80321
strobealign-caa3745f-mcsoff,map,sim4,maize,pe,50,2000000,93.94995,93,57.15515,45.85577,,22.2,9.8434
strobealign-caa3745f-mcsoff,map,sim4,maize,pe,75,2000000,98.35585,139,70.36585,54.66706,,19.2,9.84737
strobealign-caa3745f-mcsoff,map,sim4,maize,pe,100,2000000,98.9901,171,76.724,59.59312,,15.2,9.88379
strobealign-caa3745f-mcsoff,map,sim4,maize,pe,150,2000000,99.639,312,83.8871,68.90906,,12.1,10.2093
strobealign-caa3745f-mcsoff,map,sim4,maize,pe,200,2000000,99.87475,420,87.3173,73.95403,,12.2,10.2429
strobealign-caa3745f-mcsoff,map,sim4,maize,pe,300,2000000,99.9645,618,93.5252,81.52461,,18.1,10.3197
strobealign-caa3745f-mcsoff,map,sim4,maize,pe,500,2000000,99.94785,1002,95.7523,85.67444,,28.2,8.962
minimap2,map,sim4,maize,pe,50,2000000,92.58345,85,60.0456,42.84927,,25.671,8.31089
minimap2,map,sim4,maize,pe,75,2000000,98.393,143,75.01985,55.33314,,37.557,8.10638
minimap2,map,sim4,maize,pe,100,2000000,99.42515,168,82.2827,62.95381,,46.427,7.91101
minimap2,map,sim4,maize,pe,150,2000000,99.83795,318,88.7524,71.24464,,60.624,7.76207
minimap2,map,sim4,maize,pe,200,2000000,99.91775,425,90.4971,68.39833,,77.976,7.68222
minimap2,map,sim4,maize,pe,300,2000000,99.9523,625,93.49385,84.48728,,232.065,7.62341
minimap2,map,sim4,maize,pe,500,2000000,99.9469,1009,94.47605,88.70654,,980.536,7.78555
strobealign-caa3745f,align,sim4,CHM13,pe,50,2000000,99.773,154,90.7672,90.25142,98.45835,12.9,14.5388
strobealign-caa3745f,align,sim4,CHM13,pe,75,2000000,99.9539,209,92.48535,91.83567,98.92625,11.5,14.5665
strobealign-caa3745f,align,sim4,CHM13,pe,100,2000000,99.97975,269,93.2448,92.5686,99.07765,11.7,14.5939
strobealign-caa3745f,align,sim4,CHM13,pe,150,2000000,99.9833,334,94.13755,93.52655,99.1089,14.7,14.6766
strobealign-caa3745f,align,sim4,CHM13,pe,200,2000000,99.97665,467,94.47085,93.94074,99.0627,18.4,14.7463
strobealign-caa3745f,align,sim4,CHM13,pe,300,2000000,99.96915,617,95.7456,95.33143,99.25455,32.6,14.8323
strobealign-caa3745f,align,sim4,CHM13,pe,500,2000000,99.9498,1004,96.28465,95.97225,99.326,61.3,11.5108
strobealign-caa3745f-mcsoff,align,sim4,CHM13,pe,50,2000000,98.9157,154,89.6562,89.16609,97.3446,11.5,14.5514
strobealign-caa3745f-mcsoff,align,sim4,CHM13,pe,75,2000000,99.86995,209,92.28215,91.63949,98.74575,11.2,14.576
strobealign-caa3745f-mcsoff,align,sim4,CHM13,pe,100,2000000,99.93935,269,93.13615,92.46358,98.97885,11.3,14.6001
strobealign-caa3745f-mcsoff,align,sim4,CHM13,pe,150,2000000,99.9764,334,94.0606,93.45066,99.08515,14.4,14.9593
strobealign-caa3745f-mcsoff,align,sim4,CHM13,pe,200,2000000,99.9755,467,94.4186,93.88946,99.0845,18.0,14.9738
strobealign-caa3745f-mcsoff,align,sim4,CHM13,pe,300,2000000,99.96915,617,95.71275,95.29939,99.2525,31.2,15.0288
strobealign-caa3745f-mcsoff,align,sim4,CHM13,pe,500,2000000,99.9498,1004,96.24925,95.93603,99.32325,60.6,11.7118
bwamem,align,sim4,CHM13,pe,50,2000000,99.6177,154,91.303,90.83283,91.4501,84.284,10.9075
bwamem,align,sim4,CHM13,pe,75,2000000,99.94165,209,92.85715,92.19876,93.06895,89.925,8.57095
bwamem,align,sim4,CHM13,pe,100,2000000,99.9857,269,93.5969,92.857,93.8255,102.203,7.52515
bwamem,align,sim4,CHM13,pe,150,2000000,99.9833,334,94.40795,93.68664,94.6756,144.911,6.64299
bwamem,align,sim4,CHM13,pe,200,2000000,99.97665,467,94.6775,94.06179,94.98115,196.566,6.31085
bwamem,align,sim4,CHM13,pe,300,2000000,99.96915,617,96.0009,95.53734,96.29745,325.564,5.94623
bwamem,align,sim4,CHM13,pe,500,2000000,99.9498,1004,96.5031,96.17129,96.86195,561.449,5.74547
minimap2,align,sim4,CHM13,pe,50,2000000,92.3821,154,84.6355,84.34697,84.78115,25.782,11.8034
minimap2,align,sim4,CHM13,pe,75,2000000,98.5176,209,91.43985,90.9048,91.69585,31.789,11.7393
