tool,type,dataset,genome,ends,read_length,aligned,accuracy,overaligned,time,memory
strobealign-0.14.0,align,sim3,drosophila,se,50,96.5987,84.0243,1653,2.50,0.760574
strobealign-0.14.0,align,sim3,drosophila,se,75,99.3256,88.0061,1774,3.33,0.803085
strobealign-0.14.0,align,sim3,drosophila,se,100,99.5139,89.2606,1943,4.26,0.838299
strobealign-0.14.0,align,sim3,drosophila,se,150,99.7261,90.9113,2128,5.82,0.887306
strobealign-0.14.0,align,sim3,drosophila,se,200,99.7331,91.9736,2546,7.55,0.95628
strobealign-0.14.0,align,sim3,drosophila,se,300,99.6948,93.2605,3048,11.38,1.08163
strobealign-0.14.0,align,sim3,drosophila,se,500,99.5778,94.5874,4194,21.85,1.15799
strobealign-0.14.0,align,sim4,drosophila,se,50,91.9849,79.7552,3010,2.58,0.761978
strobealign-0.14.0,align,sim4,drosophila,se,75,97.5906,86.2608,3240,3.39,0.800083
strobealign-0.14.0,align,sim4,drosophila,se,100,98.1778,87.8591,3528,4.39,0.83876
strobealign-0.14.0,align,sim4,drosophila,se,150,99.0704,90.1778,4066,6.11,0.900188
strobealign-0.14.0,align,sim4,drosophila,se,200,99.3852,91.5417,4599,8.27,0.974236
strobealign-0.14.0,align,sim4,drosophila,se,300,99.425,92.8962,5720,15.31,1.09316
strobealign-0.14.0,align,sim4,drosophila,se,500,99.2182,94.1829,7801,35.96,1.17933
strobealign-0.14.0,align,sim5,drosophila,se,50,89.6078,77.5661,6066,2.60,0.76273
strobealign-0.14.0,align,sim5,drosophila,se,75,95.5804,84.3524,6477,3.37,0.802429
strobealign-0.14.0,align,sim5,drosophila,se,100,96.3252,85.9974,7107,4.28,0.835728
strobealign-0.14.0,align,sim5,drosophila,se,150,97.3895,88.482,8060,6.25,0.897381
strobealign-0.14.0,align,sim5,drosophila,se,200,98.1903,90.2358,9155,9.79,0.975273
strobealign-0.14.0,align,sim5,drosophila,se,300,98.8451,92.2346,11099,21.23,1.08442
strobealign-0.14.0,align,sim5,drosophila,se,500,98.5412,93.2275,14538,47.83,1.22716
strobealign-mcs-022a721,align,sim3,drosophila,se,50,99.6035,86.6533,1653,2.66,0.762276
strobealign-mcs-022a721,align,sim3,drosophila,se,75,99.7423,88.4035,1774,3.50,0.807484
strobealign-mcs-022a721,align,sim3,drosophila,se,100,99.7957,89.542,1943,4.28,0.837097
strobealign-mcs-022a721,align,sim3,drosophila,se,150,99.7841,90.9901,2128,5.94,0.903584
strobealign-mcs-022a721,align,sim3,drosophila,se,200,99.7441,91.999,2546,7.82,0.963776
strobealign-mcs-022a721,align,sim3,drosophila,se,300,99.6952,93.2868,3048,11.80,1.07723
strobealign-mcs-022a721,align,sim3,drosophila,se,500,99.5782,94.5844,4194,22.26,1.15676
strobealign-mcs-022a721,align,sim4,drosophila,se,50,98.8709,85.6069,3010,2.92,0.765312
strobealign-mcs-022a721,align,sim4,drosophila,se,75,99.3028,87.8348,3240,3.69,0.803646
strobealign-mcs-022a721,align,sim4,drosophila,se,100,99.6193,89.2197,3528,4.54,0.8172
strobealign-mcs-022a721,align,sim4,drosophila,se,150,99.5905,90.7266,4066,6.64,0.913151
strobealign-mcs-022a721,align,sim4,drosophila,se,200,99.539,91.6952,4599,9.36,0.965294
strobealign-mcs-022a721,align,sim4,drosophila,se,300,99.428,92.8856,5720,16.51,1.09779
strobealign-mcs-022a721,align,sim4,drosophila,se,500,99.2182,94.1764,7801,37.10,1.19614
strobealign-mcs-022a721,align,sim5,drosophila,se,50,97.2505,83.7886,6066,2.92,0.766075
strobealign-mcs-022a721,align,sim5,drosophila,se,75,97.7708,86.3811,6477,3.81,0.803818
strobealign-mcs-022a721,align,sim5,drosophila,se,100,98.7751,88.1519,7107,4.74,0.839939
strobealign-mcs-022a721,align,sim5,drosophila,se,150,99.1207,90.0544,8060,7.26,0.901398
strobealign-mcs-022a721,align,sim5,drosophila,se,200,99.0697,91.0327,9155,11.09,0.963142
strobealign-mcs-022a721,align,sim5,drosophila,se,300,98.8896,92.2739,11099,22.64,1.09908
strobealign-mcs-022a721,align,sim5,drosophila,se,500,98.5462,93.2592,14538,49.49,1.21992
strobealign-mcs-feed434,align,sim3,drosophila,se,50,98.9508,86.0759,1653,2.58,0.773056
strobealign-mcs-feed434,align,sim3,drosophila,se,75,99.7018,88.3652,1774,3.33,0.813389
strobealign-mcs-feed434,align,sim3,drosophila,se,100,99.7767,89.513,1943,4.29,0.85054
strobealign-mcs-feed434,align,sim3,drosophila,se,150,99.7837,91.005,2128,6.04,0.911598
strobealign-mcs-feed434,align,sim3,drosophila,se,200,99.7432,91.982,2546,7.56,0.964993
strobealign-mcs-feed434,align,sim3,drosophila,se,300,99.6949,93.2286,3048,11.44,1.09281
strobealign-mcs-feed434,align,sim3,drosophila,se,500,99.5778,94.5797,4194,21.49,1.16283
strobealign-mcs-feed434,align,sim4,drosophila,se,50,97.0716,84.146,3010,2.55,0.773155
strobealign-mcs-feed434,align,sim4,drosophila,se,75,99.0829,87.613,3240,3.53,0.816895
strobealign-mcs-feed434,align,sim4,drosophila,se,100,99.4872,89.0825,3528,4.31,0.848881
strobealign-mcs-feed434,align,sim4,drosophila,se,150,99.5741,90.6391,4066,6.12,0.915478
strobealign-mcs-feed434,align,sim4,drosophila,se,200,99.5343,91.645,4599,8.37,0.970844
strobealign-mcs-feed434,align,sim4,drosophila,se,300,99.4279,92.8861,5720,15.16,1.09431
strobealign-mcs-feed434,align,sim4,drosophila,se,500,99.2182,94.1682,7801,34.72,1.16549
strobealign-mcs-feed434,align,sim5,drosophila,se,50,94.9906,82.163,6066,2.59,0.777069
strobealign-mcs-feed434,align,sim5,drosophila,se,75,97.4186,86.0026,6477,3.47,0.816795
strobealign-mcs-feed434,align,sim5,drosophila,se,100,98.2662,87.7499,7107,4.48,0.841213
strobealign-mcs-feed434,align,sim5,drosophila,se,150,98.9955,89.9456,8060,6.47,0.914471
strobealign-mcs-feed434,align,sim5,drosophila,se,200,99.0282,91.0236,9155,9.87,0.978977
strobealign-mcs-feed434,align,sim5,drosophila,se,300,98.8877,92.2341,11099,20.76,1.09503
