tool,type,dataset,genome,ends,read_length,aligned,accuracy,overaligned,time,memory
strobealign-0.14.0,align,sim3,drosophila,se,50,96.5987,84.0243,1653,5.32,0.746361
strobealign-0.14.0,align,sim3,drosophila,se,75,99.3256,88.0061,1774,6.83,0.78606
strobealign-0.14.0,align,sim3,drosophila,se,100,99.5139,89.2606,1943,8.58,0.81329
strobealign-0.14.0,align,sim3,drosophila,se,150,99.7261,90.9113,2128,11.12,0.87067
strobealign-0.14.0,align,sim3,drosophila,se,200,99.7331,91.9736,2546,14.66,0.923351
strobealign-0.14.0,align,sim3,drosophila,se,300,99.6948,93.2605,3048,23.97,1.04083
strobealign-0.14.0,align,sim3,drosophila,se,500,99.5778,94.5874,4194,46.12,1.14198
strobealign-0.14.0,align,sim4,drosophila,se,50,91.9849,79.7552,3010,5.33,0.748009
strobealign-0.14.0,align,sim4,drosophila,se,75,97.5906,86.2608,3240,7.21,0.782131
strobealign-0.14.0,align,sim4,drosophila,se,100,98.1778,87.8591,3528,9.05,0.820187
strobealign-0.14.0,align,sim4,drosophila,se,150,99.0704,90.1778,4066,12.71,0.880131
strobealign-0.14.0,align,sim4,drosophila,se,200,99.3852,91.5417,4599,18.26,0.931137
strobealign-0.14.0,align,sim4,drosophila,se,300,99.425,92.8962,5720,33.63,1.05468
strobealign-0.14.0,align,sim4,drosophila,se,500,99.2182,94.1829,7801,74.32,1.16361
strobealign-0.14.0,align,sim5,drosophila,se,50,89.6078,77.5661,6066,5.41,0.750668
strobealign-0.14.0,align,sim5,drosophila,se,75,95.5804,84.3524,6477,7.35,0.783669
strobealign-0.14.0,align,sim5,drosophila,se,100,96.3252,85.9974,7107,9.76,0.820065
strobealign-0.14.0,align,sim5,drosophila,se,150,97.3895,88.482,8060,13.80,0.877403
strobealign-0.14.0,align,sim5,drosophila,se,200,98.1903,90.2358,9155,21.10,0.931664
strobealign-0.14.0,align,sim5,drosophila,se,300,98.8451,92.2346,11099,45.13,1.05423
strobealign-0.14.0,align,sim5,drosophila,se,500,98.5412,93.2275,14538,97.83,1.1786
strobealign-mcs-022a721,align,sim3,drosophila,se,50,99.6035,86.6533,1653,6.55,0.748344
strobealign-mcs-022a721,align,sim3,drosophila,se,75,99.7423,88.4035,1774,8.44,0.784748
strobealign-mcs-022a721,align,sim3,drosophila,se,100,99.7957,89.542,1943,9.53,0.815693
strobealign-mcs-022a721,align,sim3,drosophila,se,150,99.7841,90.9901,2128,12.41,0.880554
strobealign-mcs-022a721,align,sim3,drosophila,se,200,99.7441,91.999,2546,16.23,0.931713
strobealign-mcs-022a721,align,sim3,drosophila,se,300,99.6952,93.2868,3048,26.30,1.05408
strobealign-mcs-022a721,align,sim3,drosophila,se,500,99.5782,94.5844,4194,47.57,1.15142
strobealign-mcs-022a721,align,sim4,drosophila,se,50,98.8709,85.6069,3010,7.08,0.755653
strobealign-mcs-022a721,align,sim4,drosophila,se,75,99.3028,87.8348,3240,9.16,0.781662
strobealign-mcs-022a721,align,sim4,drosophila,se,100,99.6193,89.2197,3528,10.43,0.817833
strobealign-mcs-022a721,align,sim4,drosophila,se,150,99.5905,90.7266,4066,15.11,0.871365
strobealign-mcs-022a721,align,sim4,drosophila,se,200,99.539,91.6952,4599,21.09,0.940029
strobealign-mcs-022a721,align,sim4,drosophila,se,300,99.428,92.8856,5720,37.38,1.06629
strobealign-mcs-022a721,align,sim4,drosophila,se,500,99.2182,94.1764,7801,76.66,1.1745
strobealign-mcs-022a721,align,sim5,drosophila,se,50,97.2505,83.7886,6066,7.43,0.755692
strobealign-mcs-022a721,align,sim5,drosophila,se,75,97.7708,86.3811,6477,9.43,0.782173
strobealign-mcs-022a721,align,sim5,drosophila,se,100,98.7751,88.1519,7107,11.35,0.818218
strobealign-mcs-022a721,align,sim5,drosophila,se,150,99.1207,90.0544,8060,16.13,0.867748
strobealign-mcs-022a721,align,sim5,drosophila,se,200,99.0697,91.0327,9155,24.59,0.945164
strobealign-mcs-022a721,align,sim5,drosophila,se,300,98.8896,92.2739,11099,49.18,1.07849
strobealign-mcs-022a721,align,sim5,drosophila,se,500,98.5462,93.2592,14538,100.10,1.21778
bwamem,align,sim3,drosophila,se,50,99.5792,86.8397,1653,16.874,1.33538
bwamem,align,sim3,drosophila,se,75,99.7566,88.4978,1774,20.737,1.20385
bwamem,align,sim3,drosophila,se,100,99.7983,89.6202,1943,22.839,1.0313
bwamem,align,sim3,drosophila,se,150,99.7872,91.0335,2128,30.774,0.923473
bwamem,align,sim3,drosophila,se,200,99.7454,92.0125,2546,39.076,0.864563
bwamem,align,sim3,drosophila,se,300,99.6952,93.2682,3048,63.293,0.879601
bwamem,align,sim3,drosophila,se,500,99.5782,94.6564,4194,118.127,0.893425
bwamem,align,sim4,drosophila,se,50,98.3716,85.7279,3010,17.386,1.34591
bwamem,align,sim4,drosophila,se,75,99.327,88.006,3240,22.183,1.23934
bwamem,align,sim4,drosophila,se,100,99.5997,89.3406,3528,25.216,1.05841
bwamem,align,sim4,drosophila,se,150,99.5931,90.7956,4066,37.032,0.939018
bwamem,align,sim4,drosophila,se,200,99.5401,91.7618,4599,49.818,0.8685
bwamem,align,sim4,drosophila,se,300,99.428,92.9709,5720,85.317,0.88081
bwamem,align,sim4,drosophila,se,500,99.2182,94.2438,7801,161.680,0.89592
bwamem,align,sim5,drosophila,se,50,95.7617,83.3992,6066,17.643,1.33052
bwamem,align,sim5,drosophila,se,75,97.5165,86.3288,6477,23.087,1.23831
bwamem,align,sim5,drosophila,se,100,98.3283,88.0335,7107,25.358,1.06582
bwamem,align,sim5,drosophila,se,150,99.1255,90.1595,8060,38.062,0.949368
bwamem,align,sim5,drosophila,se,200,99.0785,91.1552,9155,50.993,0.876488
bwamem,align,sim5,drosophila,se,300,98.89,92.3194,11099,87.499,0.896023
bwamem,align,sim5,drosophila,se,500,98.5462,93.3263,14538,156.964,0.820889
minimap2,align,sim3,drosophila,se,50,92.1508,80.237,1653,10.600,1.31179
minimap2,align,sim3,drosophila,se,75,99.2447,87.9625,1774,13.159,1.34941
minimap2,align,sim3,drosophila,se,100,99.7442,89.4994,1943,13.980,1.27291
minimap2,align,sim3,drosophila,se,150,99.7854,91.0275,2128,17.248,1.24712
minimap2,align,sim3,drosophila,se,200,99.7451,92.028,2546,20.989,1.17548
minimap2,align,sim3,drosophila,se,300,99.6952,93.2637,3048,33.454,1.0966
minimap2,align,sim3,drosophila,se,500,99.5781,94.6323,4194,63.653,1.03572
minimap2,align,sim4,drosophila,se,50,83.8142,72.9015,3010,10.497,1.29187
minimap2,align,sim4,drosophila,se,75,97.3052,86.1319,3240,12.962,1.32952
minimap2,align,sim4,drosophila,se,100,99.2374,88.9428,3528,14.490,1.27197
minimap2,align,sim4,drosophila,se,150,99.5822,90.8064,4066,17.606,1.2419
minimap2,align,sim4,drosophila,se,200,99.5394,91.765,4599,20.946,1.17067
minimap2,align,sim4,drosophila,se,300,99.428,92.9367,5720,33.155,1.09356
minimap2,align,sim4,drosophila,se,500,99.2182,94.2627,7801,64.829,1.02869
minimap2,align,sim5,drosophila,se,50,81.2295,70.6112,6066,10.525,1.26341
minimap2,align,sim5,drosophila,se,75,95.1079,84.0773,6477,13.290,1.32681
minimap2,align,sim5,drosophila,se,100,97.5796,87.2804,7107,14.557,1.27286
minimap2,align,sim5,drosophila,se,150,98.912,89.9548,8060,17.422,1.23312
minimap2,align,sim5,drosophila,se,200,99.0614,91.1365,9155,21.638,1.18004
minimap2,align,sim5,drosophila,se,300,98.8895,92.3124,11099,34.360,1.0918
minimap2,align,sim5,drosophila,se,500,98.5462,93.2976,14538,59.794,1.0337
strobealign-0.14.0,map,sim3,drosophila,se,50,96.5987,83.4339,256,2.70,0.732143
