tool,type,dataset,genome,read_length,aligned,accuracy,overaligned,time,memory
strobealign-0.14.0,align,sim3,drosophila,50,99.68485,90.3354,3262,14.90,0.951725
strobealign-0.14.0,align,sim3,drosophila,75,99.8138,91.6398,3577,16.27,0.99284
strobealign-0.14.0,align,sim3,drosophila,100,99.8043,92.37945,3873,18.80,1.02771
strobealign-0.14.0,align,sim3,drosophila,150,99.78395,93.2242,4299,24.74,1.12971
strobealign-0.14.0,align,sim3,drosophila,200,99.74355,93.52555,5116,30.22,1.25152
strobealign-0.14.0,align,sim3,drosophila,300,99.69515,95.38125,6097,49.70,1.46545
strobealign-0.14.0,align,sim3,drosophila,500,99.5807,95.73155,8336,93.01,1.75632
strobealign-0.14.0,align,sim4,drosophila,50,98.87295,89.43415,6008,15.96,0.936577
strobealign-0.14.0,align,sim4,drosophila,75,99.61345,91.3445,6411,17.52,0.98138
strobealign-0.14.0,align,sim4,drosophila,100,99.62255,92.11185,6989,20.19,1.02502
strobealign-0.14.0,align,sim4,drosophila,150,99.5896,92.93845,8122,26.72,1.16973
strobealign-0.14.0,align,sim4,drosophila,200,99.5448,93.26665,9089,35.26,1.27244
strobealign-0.14.0,align,sim4,drosophila,300,99.43065,95.03055,11387,66.54,1.48158
strobealign-0.14.0,align,sim4,drosophila,500,99.21995,95.29595,15566,149.78,1.69654
strobealign-0.14.0,align,sim5,drosophila,50,97.05785,87.58535,12134,16.16,0.930145
strobealign-0.14.0,align,sim5,drosophila,75,98.4902,90.1271,12919,17.92,0.999352
strobealign-0.14.0,align,sim5,drosophila,100,98.9495,91.27745,14215,21.02,1.04327
strobealign-0.14.0,align,sim5,drosophila,150,99.14305,92.34365,16169,28.60,1.1871
strobealign-0.14.0,align,sim5,drosophila,200,99.0584,92.6491,18322,42.33,1.27419
strobealign-0.14.0,align,sim5,drosophila,300,98.86755,94.42885,22644,88.40,1.49007
strobealign-0.14.0,align,sim5,drosophila,500,98.5458,94.46245,29084,195.97,1.64328
strobealign-mcs-022a721,align,sim3,drosophila,50,99.80845,90.49635,3262,16.76,0.961727
strobealign-mcs-022a721,align,sim3,drosophila,75,99.8173,91.67255,3577,20.61,0.974735
strobealign-mcs-022a721,align,sim3,drosophila,100,99.80545,92.4203,3873,21.32,1.0033
strobealign-mcs-022a721,align,sim3,drosophila,150,99.7841,93.2202,4299,27.99,1.0976
strobealign-mcs-022a721,align,sim3,drosophila,200,99.7439,93.56075,5116,33.56,1.22694
strobealign-mcs-022a721,align,sim3,drosophila,300,99.69515,95.37105,6097,54.54,1.4491
strobealign-mcs-022a721,align,sim3,drosophila,500,99.58075,95.747,8336,95.14,1.72938
strobealign-mcs-022a721,align,sim4,drosophila,50,99.555,90.09435,6008,17.79,0.942047
strobealign-mcs-022a721,align,sim4,drosophila,75,99.6653,91.4323,6411,21.48,0.992207
strobealign-mcs-022a721,align,sim4,drosophila,100,99.6501,92.1335,6989,23.04,1.02054
strobealign-mcs-022a721,align,sim4,drosophila,150,99.59355,92.962,8122,31.49,1.10627
