tool,type,dataset,genome,read_length,aligned,accuracy,overaligned,time,memory
strobealign-0.14.0,align,sim3,drosophila,50,96.5987,84.0243,1653,5.25,0.750072
strobealign-0.14.0,align,sim3,drosophila,75,99.3256,88.0061,1774,6.83,0.780937
strobealign-0.14.0,align,sim3,drosophila,100,99.5139,89.2606,1943,8.44,0.80587
strobealign-0.14.0,align,sim3,drosophila,150,99.7261,90.9113,2128,11.23,0.874905
strobealign-0.14.0,align,sim3,drosophila,200,99.7331,91.9736,2546,14.55,0.9324
strobealign-0.14.0,align,sim3,drosophila,300,99.6948,93.2605,3048,23.65,1.05453
strobealign-0.14.0,align,sim3,drosophila,500,99.5778,94.5874,4194,47.03,1.15551
strobealign-0.14.0,align,sim4,drosophila,50,91.9849,79.7552,3010,5.46,0.749702
strobealign-0.14.0,align,sim4,drosophila,75,97.5906,86.2608,3240,6.89,0.782738
strobealign-0.14.0,align,sim4,drosophila,100,98.1778,87.8591,3528,9.44,0.817745
strobealign-0.14.0,align,sim4,drosophila,150,99.0704,90.1778,4066,12.89,0.880135
strobealign-0.14.0,align,sim4,drosophila,200,99.3852,91.5417,4599,18.44,0.935497
strobealign-0.14.0,align,sim4,drosophila,300,99.425,92.8962,5720,33.76,1.04939
strobealign-0.14.0,align,sim4,drosophila,500,99.2182,94.1829,7801,74.84,1.1658
strobealign-0.14.0,align,sim5,drosophila,50,89.6078,77.5661,6066,5.61,0.751781
strobealign-0.14.0,align,sim5,drosophila,75,95.5804,84.3524,6477,7.35,0.786049
strobealign-0.14.0,align,sim5,drosophila,100,96.3252,85.9974,7107,9.18,0.813179
strobealign-0.14.0,align,sim5,drosophila,150,97.3895,88.482,8060,13.50,0.877594
strobealign-0.14.0,align,sim5,drosophila,200,98.1903,90.2358,9155,21.45,0.935715
strobealign-0.14.0,align,sim5,drosophila,300,98.8451,92.2346,11099,44.76,1.04177
strobealign-0.14.0,align,sim5,drosophila,500,98.5412,93.2275,14538,97.90,1.19986
strobealign-mcs-022a721,align,sim3,drosophila,50,99.6035,86.6533,1653,6.69,0.752865
strobealign-mcs-022a721,align,sim3,drosophila,75,99.7423,88.4035,1774,8.12,0.778267
strobealign-mcs-022a721,align,sim3,drosophila,100,99.7957,89.542,1943,9.72,0.81123
strobealign-mcs-022a721,align,sim3,drosophila,150,99.7841,90.9901,2128,12.49,0.868298
strobealign-mcs-022a721,align,sim3,drosophila,200,99.7441,91.999,2546,16.09,0.92754
strobealign-mcs-022a721,align,sim3,drosophila,300,99.6952,93.2868,3048,26.36,1.06576
strobealign-mcs-022a721,align,sim3,drosophila,500,99.5782,94.5844,4194,47.67,1.16518
strobealign-mcs-022a721,align,sim4,drosophila,50,98.8709,85.6069,3010,7.14,0.748753
strobealign-mcs-022a721,align,sim4,drosophila,75,99.3028,87.8348,3240,9.09,0.786072
strobealign-mcs-022a721,align,sim4,drosophila,100,99.6193,89.2197,3528,11.00,0.815712
strobealign-mcs-022a721,align,sim4,drosophila,150,99.5905,90.7266,4066,15.10,0.877674
strobealign-mcs-022a721,align,sim4,drosophila,200,99.539,91.6952,4599,21.35,0.932716
strobealign-mcs-022a721,align,sim4,drosophila,300,99.428,92.8856,5720,36.33,1.04792
strobealign-mcs-022a721,align,sim4,drosophila,500,99.2182,94.1764,7801,77.68,1.14969
strobealign-mcs-022a721,align,sim5,drosophila,50,97.2505,83.7886,6066,7.31,0.757446
strobealign-mcs-022a721,align,sim5,drosophila,75,97.7708,86.3811,6477,9.44,0.795475
strobealign-mcs-022a721,align,sim5,drosophila,100,98.7751,88.1519,7107,11.36,0.822739
strobealign-mcs-022a721,align,sim5,drosophila,150,99.1207,90.0544,8060,16.43,0.841373
strobealign-mcs-022a721,align,sim5,drosophila,200,99.0697,91.0327,9155,24.51,0.937309
strobealign-mcs-022a721,align,sim5,drosophila,300,98.8896,92.2739,11099,48.98,0.977375
strobealign-mcs-022a721,align,sim5,drosophila,500,98.5462,93.2592,14538,100.61,1.1908
bwamem,align,sim3,drosophila,50,99.5792,86.8397,1653,22.452,1.33532
bwamem,align,sim3,drosophila,75,99.7566,88.4978,1774,30.420,1.20394
bwamem,align,sim3,drosophila,100,99.7983,89.6202,1943,22.975,1.03705
bwamem,align,sim3,drosophila,150,99.7872,91.0335,2128,30.796,0.925774
bwamem,align,sim3,drosophila,200,99.7454,92.0125,2546,39.280,0.870842
bwamem,align,sim3,drosophila,300,99.6952,93.2682,3048,63.793,0.878399
bwamem,align,sim3,drosophila,500,99.5782,94.6564,4194,118.866,0.893448
bwamem,align,sim4,drosophila,50,98.3716,85.7279,3010,22.669,1.34594
bwamem,align,sim4,drosophila,75,99.327,88.006,3240,31.907,1.23913
bwamem,align,sim4,drosophila,100,99.5997,89.3406,3528,24.896,1.05743
bwamem,align,sim4,drosophila,150,99.5931,90.7956,4066,36.957,0.934998
bwamem,align,sim4,drosophila,200,99.5401,91.7618,4599,50.172,0.871941
bwamem,align,sim4,drosophila,300,99.428,92.9709,5720,84.775,0.87999
bwamem,align,sim4,drosophila,500,99.2182,94.2438,7801,161.714,0.895893
bwamem,align,sim5,drosophila,50,95.7617,83.3992,6066,22.663,1.33049
bwamem,align,sim5,drosophila,75,97.5165,86.3288,6477,32.396,1.2382
bwamem,align,sim5,drosophila,100,98.3283,88.0335,7107,25.734,1.06715
bwamem,align,sim5,drosophila,150,99.1255,90.1595,8060,38.242,0.948719
bwamem,align,sim5,drosophila,200,99.0785,91.1552,9155,51.360,0.877728
bwamem,align,sim5,drosophila,300,98.89,92.3194,11099,87.205,0.893826
bwamem,align,sim5,drosophila,500,98.5462,93.3263,14538,156.278,0.820206
minimap2,align,sim3,drosophila,50,92.1508,80.237,1653,15.928,1.31173
minimap2,align,sim3,drosophila,75,99.2447,87.9625,1774,22.478,1.34165
minimap2,align,sim3,drosophila,100,99.7442,89.4994,1943,15.315,1.27864
minimap2,align,sim3,drosophila,150,99.7854,91.0275,2128,17.460,1.25748
minimap2,align,sim3,drosophila,200,99.7451,92.028,2546,21.310,1.17519
minimap2,align,sim3,drosophila,300,99.6952,93.2637,3048,34.062,1.09874
minimap2,align,sim3,drosophila,500,99.5781,94.6323,4194,64.349,1.03486
minimap2,align,sim4,drosophila,50,83.8142,72.9015,3010,16.526,1.28729
minimap2,align,sim4,drosophila,75,97.3052,86.1319,3240,21.869,1.32374
minimap2,align,sim4,drosophila,100,99.2374,88.9428,3528,14.829,1.27778
minimap2,align,sim4,drosophila,150,99.5822,90.8064,4066,17.462,1.23621
minimap2,align,sim4,drosophila,200,99.5394,91.765,4599,21.540,1.17242
minimap2,align,sim4,drosophila,300,99.428,92.9367,5720,34.260,1.09254
