tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f,align,sim0,fruitfly,se,50,1000000,99.9797,0,89.0406,89.03719,99.9315,1.4,0.730713
strobealign-caa3745f,align,sim0,fruitfly,se,75,1000000,99.9953,0,90.2678,90.26546,99.9602,1.7,0.740246
strobealign-caa3745f,align,sim0,fruitfly,se,100,1000000,99.9935,0,91.0911,91.08915,99.9616,2.1,0.766197
strobealign-caa3745f,align,sim0,fruitfly,se,150,1000000,100.0,0,92.2453,92.24192,99.9702,2.8,0.77607
strobealign-caa3745f,align,sim0,fruitfly,se,200,1000000,100.0,0,93.0287,93.02525,99.9712,3.7,0.792992
strobealign-caa3745f,align,sim0,fruitfly,se,300,1000000,100.0,0,94.0985,94.09502,99.954,5.3,0.824657
strobealign-caa3745f,align,sim0,fruitfly,se,500,1000000,100.0,0,95.431,95.42634,99.9479,7.4,0.782936
strobealign-caa3745f,align,sim4,fruitfly,se,50,1000000,99.0424,68,87.8057,87.40549,98.8384,2.6,0.755119
strobealign-caa3745f,align,sim4,fruitfly,se,75,1000000,99.7745,86,89.7131,89.15047,99.6666,3.3,0.778038
strobealign-caa3745f,align,sim4,fruitfly,se,100,1000000,99.9647,111,90.7616,90.11634,99.8789,4.3,0.826286
strobealign-caa3745f,align,sim4,fruitfly,se,150,1000000,99.9855,143,91.9855,91.38965,99.9003,5.9,0.845005
strobealign-caa3745f,align,sim4,fruitfly,se,200,1000000,99.9814,186,92.7957,92.27858,99.9013,8.2,0.878265
strobealign-caa3745f,align,sim4,fruitfly,se,300,1000000,99.9725,275,93.9147,93.51057,99.8737,16.0,0.949036
strobealign-caa3745f,align,sim4,fruitfly,se,500,1000000,99.9604,396,95.2668,94.95697,99.8657,38.9,0.991058
strobealign-caa3745f,align,sim6,fruitfly,se,50,1000000,76.7526,74,65.1585,63.62519,74.2175,3.2,0.756344
strobealign-caa3745f,align,sim6,fruitfly,se,75,1000000,84.0452,92,74.1476,71.99417,83.0563,5.0,0.783699
strobealign-caa3745f,align,sim6,fruitfly,se,100,1000000,91.9178,100,82.1045,79.19009,91.1544,7.3,0.817852
strobealign-caa3745f,align,sim6,fruitfly,se,150,1000000,97.8988,153,89.0589,84.97327,97.4218,10.8,0.838985
strobealign-caa3745f,align,sim6,fruitfly,se,200,1000000,98.7846,229,90.8862,86.36777,98.4301,18.7,0.874329
strobealign-caa3745f,align,sim6,fruitfly,se,300,1000000,99.855,267,93.2142,88.91933,99.6417,38.4,0.948406
strobealign-caa3745f,align,sim6,fruitfly,se,500,1000000,99.954,407,94.795,91.66696,99.8397,98.6,0.991718
strobealign-caa3745f-mcsrescue,align,sim0,fruitfly,se,50,1000000,99.9793,0,89.0719,89.06939,99.9179,1.4,0.723999
strobealign-caa3745f-mcsrescue,align,sim0,fruitfly,se,75,1000000,99.9952,0,90.2296,90.22758,99.9415,1.7,0.739277
strobealign-caa3745f-mcsrescue,align,sim0,fruitfly,se,100,1000000,99.9934,0,91.0472,91.04528,99.9448,2.0,0.763577
strobealign-caa3745f-mcsrescue,align,sim0,fruitfly,se,150,1000000,100.0,0,92.2041,92.20131,99.9575,2.7,0.767395
strobealign-caa3745f-mcsrescue,align,sim0,fruitfly,se,200,1000000,100.0,0,93.0213,93.01754,99.959,3.5,0.787834
strobealign-caa3745f-mcsrescue,align,sim0,fruitfly,se,300,1000000,100.0,0,94.0927,94.08909,99.9478,5.4,0.818592
strobealign-caa3745f-mcsrescue,align,sim0,fruitfly,se,500,1000000,100.0,0,95.4303,95.42608,99.9383,7.6,0.764351
strobealign-caa3745f-mcsrescue,align,sim4,fruitfly,se,50,1000000,99.0406,68,87.7441,87.34391,98.7674,2.5,0.747231
strobealign-caa3745f-mcsrescue,align,sim4,fruitfly,se,75,1000000,99.7727,86,89.648,89.08666,99.5997,3.3,0.782982
strobealign-caa3745f-mcsrescue,align,sim4,fruitfly,se,100,1000000,99.9634,111,90.6805,90.03723,99.8013,4.2,0.811146
strobealign-caa3745f-mcsrescue,align,sim4,fruitfly,se,150,1000000,99.9855,143,91.9381,91.34295,99.8397,5.8,0.84317
strobealign-caa3745f-mcsrescue,align,sim4,fruitfly,se,200,1000000,99.9814,186,92.7565,92.24024,99.862,8.2,0.880291
strobealign-caa3745f-mcsrescue,align,sim4,fruitfly,se,300,1000000,99.9725,275,93.8657,93.46178,99.8584,15.6,0.945713
strobealign-caa3745f-mcsrescue,align,sim4,fruitfly,se,500,1000000,99.9604,396,95.2278,94.91751,99.8491,38.4,0.982086
strobealign-caa3745f-mcsrescue,align,sim6,fruitfly,se,50,1000000,76.7487,74,65.0743,63.54215,74.1176,3.2,0.753788
strobealign-caa3745f-mcsrescue,align,sim6,fruitfly,se,75,1000000,84.0424,92,73.9987,71.84692,82.8928,5.3,0.778557
strobealign-caa3745f-mcsrescue,align,sim6,fruitfly,se,100,1000000,91.9152,100,81.9308,79.02422,90.9424,8.5,0.814007
strobealign-caa3745f-mcsrescue,align,sim6,fruitfly,se,150,1000000,97.8983,153,88.7199,84.64502,97.0896,14.3,0.836613
strobealign-caa3745f-mcsrescue,align,sim6,fruitfly,se,200,1000000,98.7839,229,90.4285,85.90454,98.0104,28.6,0.873188
strobealign-caa3745f-mcsrescue,align,sim6,fruitfly,se,300,1000000,99.855,267,92.4327,88.13034,99.063,70.8,0.941391
strobealign-caa3745f-mcsrescue,align,sim6,fruitfly,se,500,1000000,99.954,407,93.4941,90.32527,99.2037,208.5,0.974205
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,50,1000000,99.97,0,89.0461,89.04295,99.9313,1.5,0.717926
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,75,1000000,99.9902,0,90.2467,90.24465,99.9673,1.9,0.74337
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,100,1000000,99.9959,0,91.1183,91.116,99.9799,2.3,0.769981
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,150,1000000,100.0,0,92.2405,92.23774,99.9884,3.1,0.772224
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,200,1000000,100.0,0,93.0314,93.02839,99.9939,4.3,0.784569
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,300,1000000,100.0,0,94.1262,94.12188,99.9956,6.7,0.817764
strobealign-caa3745f-mcsfirststrobe,align,sim0,fruitfly,se,500,1000000,100.0,0,95.4675,95.4628,99.9962,9.5,0.771927
strobealign-caa3745f-mcsfirststrobe,align,sim4,fruitfly,se,50,1000000,99.0349,68,87.821,87.42019,98.8433,2.6,0.751495
